#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
 619  2.684048e-07  1.087679e-07  2.030610e-07
 621  4.569911e-07  6.455774e-07  1.022750e-06
 623  4.569911e-07  2.684048e-07  5.802337e-07
 625  6.455774e-07  2.973542e-07  1.741116e-07
 627  5.802337e-07  2.973542e-07  1.051699e-06
 629  1.741116e-07  2.684048e-07  9.574063e-07
 631  4.859405e-07  2.030610e-07  1.741116e-07
 633  3.626979e-07  3.916473e-07  2.684048e-07
 635  2.684048e-07  1.741116e-07  1.447470e-08
 637  6.455774e-07  2.973542e-07  2.973542e-07
 639  2.684048e-07  9.284569e-07  5.802337e-07
 641  4.569911e-07  7.688200e-07  1.399923e-06
 643  8.341637e-07  7.688200e-07  1.087679e-07
 645  9.284569e-07  2.030610e-07  1.087679e-07
 647  2.030610e-07  2.030610e-07  7.981846e-08
 649  1.022750e-06  1.741116e-07  2.684048e-07
 651  3.626979e-07  3.916473e-07  5.512843e-07
 653  1.447470e-08  4.569911e-07  1.447470e-08
 655  1.741116e-07  6.455774e-07  6.455774e-07
 657  2.684048e-07  5.802337e-07  3.916473e-07
 659  5.802337e-07  7.981846e-08  1.087679e-07
 661  7.398706e-07  3.626979e-07  2.684048e-07
 663  4.569911e-07  4.569911e-07  3.916473e-07
 665  2.030610e-07  2.684048e-07  2.973542e-07
 667  2.030610e-07  2.684048e-07  3.916473e-07
 669  7.398706e-07  2.684048e-07  2.684048e-07
 671  8.341637e-07  1.447470e-08  5.512843e-07
 673  7.981846e-08  8.631131e-07  7.981846e-08
 675  1.741116e-07  5.802337e-07  9.574063e-07
 677  8.631131e-07  1.447470e-08  1.447470e-08
 679  1.447470e-08  1.741116e-07  2.030610e-07
 681  2.973542e-07  1.447470e-08  2.030610e-07
 683  1.087679e-07  2.684048e-07  1.741116e-07
 685  2.030610e-07  1.087679e-07  6.745268e-07
 687  2.684048e-07  2.973542e-07  6.455774e-07
 689  2.973542e-07  1.087679e-07  3.916473e-07
 691  5.802337e-07  4.859405e-07  1.447470e-08
 693  2.684048e-07  4.859405e-07  1.447470e-08
 695  9.284569e-07  6.745268e-07  7.981846e-08
 697  1.447470e-08  1.741116e-07  7.981846e-08
 699  3.916473e-07  1.447470e-08  2.973542e-07
 701  9.284569e-07  7.398706e-07  1.051699e-06
 703  3.626979e-07  7.981846e-08  1.447470e-08
 705  4.859405e-07  6.745268e-07  1.022750e-06
 707  5.512843e-07  7.981846e-08  8.631131e-07
 709  4.569911e-07  2.973542e-07  1.741116e-07
 711  7.398706e-07  1.447470e-08  3.916473e-07
 713  2.684048e-07  3.916473e-07  7.398706e-07
 715  7.981846e-08  7.398706e-07  6.745268e-07
 717  3.626979e-07  5.802337e-07  2.684048e-07
 719  2.684048e-07  1.399923e-06  8.631131e-07
 721  1.447470e-08  1.022750e-06  5.802337e-07
 723  2.684048e-07  4.859405e-07  1.087679e-07
 725  3.626979e-07  6.455774e-07  7.981846e-08
 727  1.741116e-07  2.973542e-07  4.569911e-07
 729  2.973542e-07  9.574063e-07  4.569911e-07
 731  1.145993e-06  2.973542e-07  4.569911e-07
 733  2.973542e-07  7.688200e-07  2.684048e-07
 735  2.030610e-07  3.626979e-07  6.745268e-07
 737  1.741116e-07  2.030610e-07  4.569911e-07
 739  1.741116e-07  2.030610e-07  2.684048e-07
 741  1.741116e-07  2.973542e-07  7.981846e-08
 743  6.455774e-07  3.916473e-07  7.688200e-07
 745  4.859405e-07  7.688200e-07  3.626979e-07
 747  5.802337e-07  5.512843e-07  6.745268e-07
 749  7.981846e-08  6.745268e-07  1.741116e-07
 751  3.916473e-07  8.341637e-07  1.211336e-06
 753  1.741116e-07  3.916473e-07  4.859405e-07
 755  6.455774e-07  5.802337e-07  2.030610e-07
 757  1.087679e-07  7.688200e-07  7.981846e-08
 759  2.684048e-07  6.745268e-07  7.688200e-07
 761  3.626979e-07  7.981846e-08  1.334579e-06
 763  3.916473e-07  4.859405e-07  2.030610e-07
 765  7.981846e-08  1.087679e-07  1.447470e-08
 767  6.745268e-07  5.512843e-07  4.569911e-07
 769  6.745268e-07  5.802337e-07  7.981846e-08
 771  4.569911e-07  1.087679e-07  2.973542e-07
 773  1.447470e-08  6.745268e-07  1.087679e-07
 775  3.916473e-07  2.973542e-07  5.802337e-07
 777  6.455774e-07  6.455774e-07  6.455774e-07
 779  4.569911e-07  5.802337e-07  2.030610e-07
 781  1.087679e-07  2.684048e-07  2.973542e-07
 783  1.741116e-07  3.626979e-07  5.802337e-07
 785  1.022750e-06  7.398706e-07  1.741116e-07
 787  7.981846e-08  5.802337e-07  6.455774e-07
 789  3.916473e-07  1.087679e-07  1.022750e-06
 791  6.745268e-07  6.455774e-07  1.087679e-07
 793  1.447470e-08  1.741116e-07  3.916473e-07
 795  6.455774e-07  1.447470e-08  9.574063e-07
 797  1.087679e-07  7.981846e-08  7.981846e-08
 799  4.569911e-07  4.569911e-07  2.973542e-07
 801  1.087679e-07  2.684048e-07  9.284569e-07
 803  2.973542e-07  1.087679e-07  1.871388e-06
 805  1.741116e-07  4.569911e-07  2.973542e-07
 807  1.741116e-07  4.569911e-07  2.684048e-07
 809  3.626979e-07  7.981846e-08  6.455774e-07
 811  3.916473e-07  1.117043e-06  3.916473e-07
 813  7.398706e-07  6.745268e-07  2.684048e-07
 815  2.030610e-07  9.284569e-07  7.398706e-07
 817  2.030610e-07  7.398706e-07  6.745268e-07
 819  2.684048e-07  2.030610e-07  2.684048e-07
 821  1.447470e-08  7.981846e-08  2.973542e-07
 823  5.512843e-07  4.859405e-07  2.973542e-07
 825  5.512843e-07  1.741116e-07  7.981846e-08
 827  7.981846e-08  1.447470e-08  1.087679e-07
 829  7.981846e-08  1.447470e-08  7.981846e-08
 831  2.030610e-07  6.455774e-07  2.973542e-07
 833  7.398706e-07  2.030610e-07  1.741116e-07
 835  4.859405e-07  2.973542e-07  1.447470e-08
 837  1.447470e-08  8.631131e-07  2.684048e-07
 839  2.973542e-07  2.684048e-07  1.087679e-07
 841  1.777095e-06  2.973542e-07  1.741116e-07
 843  6.455774e-07  5.802337e-07  1.117043e-06
 845  4.859405e-07  4.569911e-07  1.211336e-06
 847  4.569911e-07  5.802337e-07  4.569911e-07
 849  2.030610e-07  1.087679e-07  7.981846e-08
 851  4.859405e-07  5.512843e-07  1.087679e-07
 853  7.981846e-08  2.030610e-07  4.569911e-07
 855  3.626979e-07  8.341637e-07  1.087679e-07
 857  3.626979e-07  1.087679e-07  7.981846e-08
 859  8.341637e-07  4.859405e-07  7.981846e-08
 861  3.626979e-07  1.051699e-06  2.684048e-07
 863  3.916473e-07  6.745268e-07  2.973542e-07
 865  8.341637e-07  2.030610e-07  1.087679e-07
 867  1.447470e-08  7.981846e-08  1.741116e-07
 869  2.973542e-07  2.973542e-07  1.087679e-07
 871  1.447470e-08  4.859405e-07  1.741116e-07
 873  1.022750e-06  7.398706e-07  5.512843e-07
 875  1.117043e-06  1.741116e-07  3.916473e-07
 877  1.087679e-07  4.859405e-07  2.973542e-07
 879  7.398706e-07  7.398706e-07  4.859405e-07
 881  1.741116e-07  2.030610e-07  6.745268e-07
 883  7.398706e-07  1.305630e-06  5.802337e-07
 885  1.447470e-08  7.981846e-08  6.455774e-07
 887  5.512843e-07  5.802337e-07  3.626979e-07
 889  1.741116e-07  2.030610e-07  7.981846e-08
 891  1.305630e-06  6.455774e-07  1.447470e-08
 893  2.684048e-07  2.684048e-07  8.341637e-07
 895  1.447470e-08  1.087679e-07  7.688200e-07
 897  7.688200e-07  1.741116e-07  9.284569e-07
 899  1.741116e-07  2.684048e-07  1.022750e-06
 901  6.455774e-07  2.973542e-07  1.087679e-07
 903  1.022750e-06  1.022750e-06  5.802337e-07
 905  3.916473e-07  1.087679e-07  7.981846e-08
 907  3.916473e-07  6.745268e-07  1.494216e-06
 909  1.447470e-08  1.741116e-07  1.447470e-08
 911  4.569911e-07  2.030610e-07  5.802337e-07
 913  4.859405e-07  7.398706e-07  1.741116e-07
 915  7.981846e-08  6.745268e-07  1.741116e-07
 917  4.859405e-07  2.684048e-07  5.802337e-07
 919  6.745268e-07  1.741116e-07  1.240286e-06
 921  4.859405e-07  4.859405e-07  6.455774e-07
 923  1.117043e-06  1.523165e-06  3.916473e-07
 925  1.741116e-07  1.741116e-07  1.022750e-06
 927  1.087679e-07  9.284569e-07  1.741116e-07
 929  7.981846e-08  3.916473e-07  1.447470e-08
