# omega0=1, alpha=0.3
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
1.249341635825254e+01 7.038645073830292e-02 2.074475635945697e-02
1.258460917838577e+01 7.196042027966701e-02 1.378272506941200e-02
1.267580199851900e+01 7.290250960841639e-02 6.895882209285189e-03
1.276699481865223e+01 7.322206844608586e-02 1.385135413073293e-04
1.285818763878546e+01 7.293328432934065e-02 -6.437626421721449e-03
1.294938045891869e+01 7.205493569879687e-02 -1.278366179394174e-02
1.304057327905192e+01 7.061011477137040e-02 -1.885391041584283e-02
1.313176609918515e+01 6.862592319607320e-02 -2.460616547125920e-02
1.322295891931838e+01 6.613314359447506e-02 -3.000194260135836e-02
1.331415173945161e+01 6.316589017232974e-02 -3.500669166434434e-02
1.340534455958484e+01 5.976124165896546e-02 -3.958997245490768e-02
1.349653737971807e+01 5.595885988587525e-02 -4.372559386843779e-02
1.358773019985130e+01 5.180059735460817e-02 -4.739171617990229e-02
1.367892301998453e+01 4.733009716498997e-02 -5.057091631222024e-02
1.377011584011776e+01 4.259238867588257e-02 -5.325021619752308e-02
1.386130866025099e+01 3.763348224990488e-02 -5.542107458779474e-02
1.395250148038422e+01 3.249996638861277e-02 -5.707934294717417e-02
1.404369430051745e+01 2.723861049368170e-02 -5.822518635234507e-02
1.413488712065068e+01 2.189597639126051e-02 -5.886297063345194e-02
1.422607994078391e+01 1.651804163014450e-02 -5.900111729778696e-02
1.431727276091714e+01 1.114983740981347e-02 -5.865192808300498e-02
1.440846558105037e+01 5.835103812608739e-03 -5.783138127641622e-02
1.449965840118360e+01 6.159648071448959e-04 -5.655890220284509e-02
1.459085122131683e+01 -4.467374739972191e-03 -5.485711051738233e-02
1.468204404145006e+01 -9.376908056667049e-03 -5.275154713423041e-02
1.477323686158329e+01 -1.407707974011265e-02 -5.027038377363319e-02
1.486442968171652e+01 -1.853501186862597e-02 -4.744411821245800e-02
1.495562250184975e+01 -2.272070178999109e-02 -4.430525837928685e-02
1.504681532198298e+01 -2.660719071259655e-02 -4.088799844279921e-02
1.513800814211621e+01 -3.017070251157138e-02 -3.722789000551981e-02
1.522920096224944e+01 -3.339075244267514e-02 -3.336151143790256e-02
1.532039378238267e+01 -3.625022572859601e-02 -2.932613827560012e-02
1.541158660251590e+01 -3.873542624261908e-02 -2.515941746173188e-02
1.550277942264913e+01 -4.083609576099741e-02 -2.089904805241679e-02
1.559397224278236e+01 -4.254540448602975e-02 -1.658247082408700e-02
1.568516506291559e+01 -4.385991375561474e-02 -1.224656903100518e-02
1.577635788304882e+01 -4.477951205120737e-02 -7.927382366092943e-03
1.586755070318205e+01 -4.530732559437430e-02 -3.659835981828769e-03
1.595874352331528e+01 -4.544960498258537e-02 5.225137662743836e-04
1.604993634344851e+01 -4.521558945778300e-02 4.587715381192448e-03
1.614112916358174e+01 -4.461735052707361e-02 8.505638803395004e-03
1.623232198371497e+01 -4.366961676407051e-02 1.224817139938832e-02
1.632351480384820e+01 -4.238958171244972e-02 1.578939242669600e-02
1.641470762398143e+01 -4.079669689054319e-02 1.910572521338279e-02
1.650590044411466e+01 -3.891245195755806e-02 2.217606645917305e-02
1.659709326424789e+01 -3.676014414841725e-02 2.498189223332159e-02
1.668828608438112e+01 -3.436463911528206e-02 2.750734041292008e-02
1.677947890451435e+01 -3.175212532945958e-02 2.973926947517578e-02
1.687067172464758e+01 -2.894986419747127e-02 3.166729372881004e-02
1.696186454478081e+01 -2.598593802940627e-02 3.328379524294858e-02
1.705305736491404e+01 -2.288899796618549e-02 3.458391290596601e-02
1.714425018504727e+01 -1.968801392499876e-02 3.556550922036715e-02
1.723544300518050e+01 -1.641202855907085e-02 3.622911561107876e-02
1.732663582531373e+01 -1.308991714937645e-02 3.657785719121025e-02
1.741782864544696e+01 -9.750155252495056e-03 3.661735808885835e-02
1.750902146558019e+01 -6.420595821249407e-03 3.635562858818638e-02
1.760021428571342e+01 -3.128257394128052e-03 3.580293547513577e-02
1.769140710584665e+01 1.008751829887609e-04 3.497165710024097e-02
1.778259992597988e+01 3.242036182129527e-03 3.387612477594762e-02
1.787379274611311e+01 6.271849396453859e-03 3.253245221183888e-02
1.796498556624634e+01 9.168482510789768e-03 3.095835475702513e-02
1.805617838637957e+01 1.191178459243458e-02 2.917296026397609e-02
1.814737120651280e+01 1.448340602187398e-02 2.719661341216524e-02
1.823856402664603e+01 1.686690035103691e-02 2.505067533349575e-02
1.832975684677927e+01 1.904780774409433e-02 2.275732036551491e-02
1.842094966691250e+01 2.101371982090322e-02 2.033933172424965e-02
1.851214248704573e+01 2.275432588440515e-02 1.781989783777485e-02
1.860333530717896e+01 2.426144066918878e-02 1.522241101624820e-02
1.869452812731219e+01 2.552901389777083e-02 1.257027005610701e-02
1.878572094744542e+01 2.655312207287777e-02 9.886688287439802e-03
1.887691376757865e+01 2.733194306724068e-02 7.194508476156133e-03
1.896810658771188e+01 2.786571419643557e-02 4.516025888277160e-03
1.905929940784511e+01 2.815667457455690e-02 1.872820714053138e-03
1.915049222797834e+01 2.820899265658150e-02 -7.143990639491857e-04
1.924168504811157e+01 2.802867996485717e-02 -3.225943391026456e-03
1.933287786824480e+01 2.762349208002125e-02 -5.643273599319397e-03
1.942407068837803e+01 2.700281804867708e-02 -7.949122875642979e-03
1.951526350851126e+01 2.617755942124535e-02 -1.012760312841677e-02
1.960645632864449e+01 2.516000018351978e-02 -1.216429776442169e-02
1.969764914877772e+01 2.396366888458267e-02 -1.404634000651247e-02
1.978884196891095e+01 2.260319429189855e-02 -1.576247650341959e-02
1.988003478904418e+01 2.109415592165425e-02 -1.730311610202413e-02
1.997122760917741e+01 1.945293079883896e-02 -1.866036377056728e-02
2.006242042931064e+01 1.769653779728827e-02 -1.982803977765100e-02
2.015361324944387e+01 1.584248089513131e-02 -2.080168434598221e-02
2.024480606957710e+01 1.390859265602281e-02 -2.157854811088496e-02
2.033599888971033e+01 1.191287921152448e-02 -2.215756882082790e-02
2.042719170984356e+01 9.873367975414386e-03 -2.253933481968631e-02
2.051838452997679e+01 7.807959267024913e-03 -2.272603594722460e-02
2.060957735011002e+01 5.734282958505020e-03 -2.272140258438029e-02
2.070077017024325e+01 3.669561190821062e-03 -2.253063365240858e-02
2.079196299037648e+01 1.630478126089343e-03 -2.216031444892952e-02
2.088315581050971e+01 -3.669423797171604e-04 -2.161832526862309e-02
2.097434863064294e+01 -2.307450388648140e-03 -2.091374181109614e-02
2.106554145077617e+01 -4.176674075727889e-03 -2.005672842280378e-02
2.115673427090940e+01 -5.961213902549965e-03 -1.905842525353130e-02
2.124792709104263e+01 -7.648726264739304e-03 -1.793083043069749e-02
2.133911991117586e+01 -9.227996209741768e-03 -1.668667836667441e-02
2.143031273130909e+01 -1.068899892323922e-02 -1.533931531565865e-02
2.152150555144232e+01 -1.202294978397950e-02 -1.390257328775688e-02
2.161269837157555e+01 -1.322234288704651e-02 -1.239064340938695e-02
2.170389119170878e+01 -1.428097803372085e-02 -1.081794979147800e-02
2.179508401184201e+01 -1.519397628130217e-02 -9.199024930997640e-03
2.188627683197524e+01 -1.595778423785510e-02 -7.548387627816438e-03
2.197746965210847e+01 -1.657016737414928e-02 -5.880424348644794e-03
2.206866247224170e+01 -1.703019270750980e-02 -4.209274913554805e-03
2.215985529237493e+01 -1.733820128937258e-02 -2.548723319227738e-03
2.225104811250816e+01 -1.749577099961565e-02 -9.120944473121696e-04
2.234224093264139e+01 -1.750567021584465e-02 6.878426631333888e-04
2.243343375277462e+01 -1.737180298444771e-02 2.238964372525412e-03
2.252462657290785e+01 -1.709914637216032e-02 3.729874295104814e-03
2.261581939304108e+01 -1.669368072190626e-02 5.149976995360498e-03
2.270701221317431e+01 -1.616231357467557e-02 6.489543148802542e-03
2.279820503330754e+01 -1.551279805007723e-02 7.739765867695556e-03
2.288939785344077e+01 -1.475364650192619e-02 8.892807970863262e-03
2.298059067357400e+01 -1.389404028179985e-02 9.941840054850477e-03
2.307178349370723e+01 -1.294373645297709e-02 1.088106930109197e-02
2.316297631384046e+01 -1.191297229965319e-02 1.170575902980230e-02
2.325416913397369e+01 -1.081236847194448e-02 1.241223908557552e-02
2.334536195410692e+01 -9.652831596144417e-03 1.299790721167266e-02
2.343655477424015e+01 -8.445457162199134e-03 1.346122163917961e-02
2.352774759437338e+01 -7.201433476711578e-03 1.380168518314235e-02
2.361894041450661e+01 -5.931947440280568e-03 1.401982119994275e-02
2.371013323463984e+01 -4.648092873000198e-03 1.411714181809769e-02
2.380132605477307e+01 -3.360782071892069e-03 1.409610890790428e-02
2.389251887490630e+01 -2.080661239363782e-03 1.396008830351203e-02
2.398371169503953e+01 -8.180303729618480e-04 1.371329783372143e-02
2.407490451517276e+01 4.172318457741161e-04 1.336074975478975e-02
2.416609733530600e+01 1.615737681112025e-03 1.290818820953311e-02
2.425729015543923e+01 2.768654067450666e-03 1.236202236188515e-02
2.434848297557246e+01 3.867760064129947e-03 1.172925587471509e-02
2.443967579570569e+01 4.905497738203668e-03 1.101741341110529e-02
2.453086861583892e+01 5.875016235009541e-03 1.023446484549676e-02
2.462206143597215e+01 6.770208859018807e-03 9.388747871257765e-03
2.471325425610538e+01 7.585743049839397e-03 8.488889685505216e-03
2.480444707623861e+01 8.317083199857623e-03 7.543728420661602e-03
2.489563989637184e+01 8.960506320334526e-03 6.562234975559128e-03
2.498683271650507e+01 9.513110621353788e-03 5.553435877248356e-03
2.507802553663830e+01 9.972817127411193e-03 4.526337778403752e-03
2.516921835677153e+01 1.033836450423821e-02 3.489854164740508e-03
2.526041117690476e+01 1.060929732329904e-02 2.452734812579887e-03
2.535160399703799e+01 1.078594803796438e-02 1.423498499047697e-03
2.544279681717122e+01 1.086941298935771e-02 4.103694267902849e-04
2.553398963730445e+01 1.086152280004167e-02 -5.787822180285955e-04
2.562518245743768e+01 1.076480754985312e-02 -1.536495200905466e-03
2.571637527757091e+01 1.058245716013247e-02 -2.455767340705226e-03
2.580756809770414e+01 1.031827744019235e-02 -3.330100499429208e-03
2.589876091783737e+01 9.976642273033647e-03 -4.153540230620332e-03
2.598995373797060e+01 9.562442435982811e-03 -4.920709906513433e-03
2.608114655810383e+01 9.081031566065061e-03 -5.626839193672001e-03
2.617233937823706e+01 8.538169789552796e-03 -6.267786796215351e-03
2.626353219837029e+01 7.939965540277542e-03 -6.840057434469901e-03
2.635472501850352e+01 7.292816092041348e-03 -7.340813074621173e-03
2.644591783863675e+01 6.603347326915427e-03 -7.767878471356874e-03
2.653711065876998e+01 5.878353253506247e-03 -8.119741130245620e-03
2.662830347890321e+01 5.124735777568312e-03 -8.395545839374062e-03
2.671949629903644e+01 4.349445211842204e-03 -8.595083960268103e-03
2.681068911916967e+01 3.559421992916863e-03 -8.718777706071091e-03
2.690188193930290e+01 2.761540050501263e-03 -8.767659670085963e-03
2.699307475943613e+01 1.962552249010106e-03 -8.743347899876760e-03
2.708426757956936e+01 1.169038293108086e-03 -8.648016840964636e-03
2.717546039970259e+01 3.873554581220347e-04 -8.484364499571722e-03
2.726665321983582e+01 -3.764075266615366e-04 -8.255576195724541e-03
2.735784603996905e+01 -1.116473148514701e-03 -7.965285296223631e-03
2.744903886010228e+01 -1.827414078511677e-03 -7.617531331450913e-03
2.754023168023551e+01 -2.504188215763178e-03 -7.216715910691275e-03
2.763142450036874e+01 -3.142169627067920e-03 -6.767556857596633e-03
2.772261732050197e+01 -3.737175239032924e-03 -6.275040990662091e-03
2.781381014063520e+01 -4.285487178468615e-03 -5.744375973191510e-03
2.790500296076843e+01 -4.783870695421705e-03 -5.180941653312406e-03
2.799619578090166e+01 -5.229587641253018e-03 -4.590241307295980e-03
2.808738860103489e+01 -5.620405511397152e-03 -3.977853188911491e-03
2.817858142116812e+01 -5.954602098570931e-03 -3.349382773982994e-03
2.826977424130135e+01 -6.230965836960221e-03 -2.710416072928074e-03
2.836096706143458e+01 -6.448791951062583e-03 -2.066474365067123e-03
2.845215988156781e+01 -6.607874554169397e-03 -1.422970687135269e-03
2.854335270170104e+01 -6.708494870731389e-03 -7.851683849556034e-04
2.863454552183427e+01 -6.751405783884253e-03 -1.581420118975765e-04
2.872573834196750e+01 -6.737812934058549e-03 4.532591691908169e-04
2.881693116210073e+01 -6.669352616726270e-03 1.044444852160203e-03
2.890812398223396e+01 -6.548066746835630e-03 1.611114322773081e-03
2.899931680236719e+01 -6.376375174270025e-03 2.149283894031324e-03
2.909050962250042e+01 -6.157045648675022e-03 2.655311003393775e-03
2.918170244263365e+01 -5.893161743190674e-03 3.125914864645887e-03
2.927289526276688e+01 -5.588089054990615e-03 3.558193598205195e-03
2.936408808290011e+01 -5.245440006072398e-03 3.949637794457492e-03
2.945528090303334e+01 -4.869037570495441e-03 4.298140495080150e-03
2.954647372316657e+01 -4.462878254275423e-03 4.602003606990977e-03
2.963766654329980e+01 -4.031094651489058e-03 4.859940792343365e-03
2.972885936343303e+01 -3.577917894912433e-03 5.071076905662781e-03
2.982005218356626e+01 -3.107640311819786e-03 5.234944075589825e-03
2.991124500369950e+01 -2.624578585534827e-03 5.351474553579519e-03
3.000243782383273e+01 -2.133037711096910e-03 5.420990475138671e-03
3.009363064396596e+01 -1.637276019136910e-03 5.444190700613282e-03
3.018482346409919e+01 -1.141471525923323e-03 5.422134922034110e-03
3.027601628423242e+01 -6.496898497193202e-04 5.356225239977534e-03
3.036720910436565e+01 -1.658539142774752e-04 5.248185429707316e-03
3.045840192449888e+01 3.062843603106731e-04 5.100038128957677e-03
3.054959474463211e+01 7.631702008938053e-04 4.914080190546990e-03
3.064078756476534e+01 1.201469802735976e-03 4.692856451542866e-03
3.073198038489857e+01 1.618091696511399e-03 4.439132176922926e-03
3.082317320503180e+01 2.010205551861542e-03 4.155864439600920e-03
3.091436602516503e+01 2.375258332530474e-03 3.846172700344642e-03
3.100555884529826e+01 2.710987742117095e-03 3.513308850549001e-03
3.109675166543149e+01 3.015432923355447e-03 3.160626978110944e-03
3.118794448556472e+01 3.286942397364041e-03 2.791553111865875e-03
3.127913730569795e+01 3.524179252307628e-03 2.409555193286132e-03
3.137033012583118e+01 3.726123613215182e-03 2.018113515522977e-03
3.146152294596441e+01 3.892072446132185e-03 1.620691859518824e-03
3.155271576609764e+01 4.021636770201167e-03 1.220709544960986e-03
3.164390858623087e+01 4.114736370522631e-03 8.215146004359173e-04
3.173510140636410e+01 4.171592122622813e-03 4.263582424252341e-04
3.182629422649733e+01 4.192716055933307e-03 3.837083691888918e-05
3.191748704663056e+01 4.178899298773162e-03 -3.394604994315978e-04
3.200867986676379e+01 4.131198060833997e-03 -7.043125193713085e-04
3.209987268689702e+01 4.050917821035701e-03 -1.053544565393016e-03
3.219106550703025e+01 3.939595898792237e-03 -1.384715288281904e-03
3.228225832716348e+01 3.798982595166706e-03 -1.695597280897256e-03
3.237345114729671e+01 3.631021097080433e-03 -1.984189563537037e-03
3.246464396742994e+01 3.437826342664859e-03 -2.248727876533340e-03
3.255583678756317e+01 3.221663049014924e-03 -2.487692754872117e-03
3.264702960769640e+01 2.984923105039392e-03 -2.699815378468702e-03
3.273822242782963e+01 2.730102531842092e-03 -2.884081210116561e-03
3.282941524796286e+01 2.459778211155626e-03 -3.039731450923348e-03
3.292060806809609e+01 2.176584578845716e-03 -3.166262360126184e-03
3.301180088822932e+01 1.883190475480857e-03 -3.263422502416771e-03
3.310299370836255e+01 1.582276339500204e-03 -3.331208001195777e-03
3.319418652849578e+01 1.276511920703726e-03 -3.369855890414502e-03
3.328537934862901e+01 9.685346827327156e-04 -3.379835670760771e-03
3.337657216876224e+01 6.609290530131564e-04 -3.361839187827544e-03
3.346776498889547e+01 3.562066674134826e-04 -3.316768960500873e-03
3.355895780902870e+01 5.678774474137867e-05 -3.245725097065165e-03
3.365015062916194e+01 -2.350162867046088e-04 -3.149990944406922e-03
3.374134344929517e+01 -5.170188018766690e-04 -3.031017622174886e-03
3.383253626942840e+01 -7.871725364502075e-04 -2.890407598808628e-03
3.392372908956163e+01 -1.043582608950374e-03 -2.729897469975619e-03
3.401492190969486e+01 -1.284517942207396e-03 -2.551340102167017e-03
3.410611472982809e+01 -1.508421033704698e-03 -2.356686305015039e-03
3.419730754996132e+01 -1.713916039284539e-03 -2.147966195341088e-03
3.428850037009455e+01 -1.899815149465403e-03 -1.927270414065784e-03
3.437969319022778e+01 -2.065123252185208e-03 -1.696731353961377e-03
3.447088601036101e+01 -2.209040890001089e-03 -1.458504551864789e-03
3.456207883049424e+01 -2.330965533542844e-03 -1.214750393464973e-03
3.465327165062747e+01 -2.430491206232231e-03 -9.676162722081069e-04
3.474446447076070e+01 -2.507406507850835e-03 -7.192193363118719e-04
3.483565729089393e+01 -2.561691096379613e-03 -4.716299494345973e-04
3.492685011102716e+01 -2.593510698566305e-03 -2.268559813002794e-04
3.501804293116039e+01 -2.603210729834095e-03 1.317196536594306e-05
3.510923575129362e+01 -2.591308613366997e-03 2.466142957848020e-04
3.520042857142685e+01 -2.558484896444039e-03 4.717350471913153e-04
3.529162139156008e+01 -2.505573269304903e-03 6.869133227041650e-04
3.538281421169331e+01 -2.433549597982874e-03 8.906534734068311e-04
3.547400703182654e+01 -2.343520087615065e-03 1.081593978969539e-03
3.556519985195977e+01 -2.236708696722439e-03 1.258514989144113e-03
3.565639267209300e+01 -2.114443925840166e-03 1.420344500451487e-03
3.574758549222623e+01 -1.978145105677986e-03 1.566163154256528e-03
3.583877831235946e+01 -1.829308310715272e-03 1.695207654093144e-03
3.592997113249269e+01 -1.669492023809260e-03 1.806872811474587e-03
3.602116395262592e+01 -1.500302676048414e-03 1.900712240414560e-03
3.611235677275915e+01 -1.323380183754547e-03 1.976437731414411e-03
3.620354959289238e+01 -1.140383601272614e-03 2.033917345666571e-03
3.629474241302561e+01 -9.529770040378720e-04 2.073172279616880e-03
3.638593523315884e+01 -7.628157114341890e-04 2.094372558757572e-03
3.647712805329207e+01 -5.715329532176505e-04 2.097831627534638e-03
3.656832087342530e+01 -3.807270768438310e-04 2.083999909501412e-03
3.665951369355853e+01 -1.919493859767201e-04 2.053457418295295e-03
